o	-1	o	-1
o	o	-1	-1
-1	o	o	-1
-1	o	-1	o
-1	o	o	-1
-1	-1	o	o
o	-1	o	-1
-1	o	o	-1
o	-1	o	-1
-1	o	o	-1
-1	o	o	-1
o	-1	-1	o
o	-1	o	-1
-1	o	-1	o
o	o	-1	-1
o	o	-1	-1
-1	o	-1	o
-1	-1	o	o
o	-1	-1	o
-1	o	-1	o
o	o	-1	-1
o	-1	-1	o
-1	o	-1	o
-1	-1	o	o
o	-1	-1	o
o	-1	o	-1
o	-1	o	-1
o	o	-1	-1
o	-1	o	-1
-1	o	o	-1
-1	o	o	-1
-1	-1	o	o
o	-1	o	-1
-1	o	o	-1
o	-1	o	-1
-1	-1	o	o
o	o	-1	-1
-1	o	-1	o
-1	-1	o	o
o	-1	o	0
o	-1	o	-1
o	1	o	1
o	-1	o	-1
o	1	o	1
-1	o	o	-1
o	-1	-1	o
o	o	-1	-1
-1	o	-1	o
-1	-1	o	o
-1	o	o	-1
o	-1	o	-1
-1	o	-1	o
o	-1	o	-1
-1	o	-1	o
o	-1	o	-1
-1	-1	o	o
-1	-1	o	o
-1	o	-1	o
o	-1	-1	o
-1	o	o	-1
o	-1	o	-1
-1	-1	o	o
o	o	-1	-1
o	-1	o	-1
o	1	o	1
0	o	-1	o
-1	-1	o	o
-1	o	-1	o
-1	o	-1	o
o	-1	o	-1
-1	o	-1	o
o	-1	-1	o
1	1	o	o
o	-1	o	-1
-1	o	-1	o
1	1	o	o
o	-1	o	-1
o	-1	-1	o
-1	o	o	-1
o	-1	-1	o
-1	o	o	-1
-1	-1	o	o
o	-1	o	-1
1	o	-1	o
o	-1	o	-1
o	-1	o	-1
-1	-1	o	o
o	-1	o	-1
o	-1	-1	o
-1	o	-1	o
o	o	1	-1
-1	o	-1	o
o	-1	-1	o
-1	o	o	1
o	-1	o	-1
o	-1	o	-1
o	-1	-1	o
o	-1	o	-1
-1	o	-1	o
-1	o	o	-1
-1	o	-1	o
-1	o	-1	o
o	-1	o	-1
-1	o	-1	o
o	-1	o	-1
-1	o	-1	o
o	o	-1	-1
o	-1	o	-1
-1	-1	o	o
-1	-1	o	o
o	o	-1	-1
o	-1	-1	o
0	o	1	o
1	o	1	o
o	-1	o	-1
o	o	-1	-1
o	-1	o	-1
o	-1	o	-1
-1	o	o	-1
-1	o	-1	o
o	o	-1	-1
-1	o	-1	o
-1	o	-1	o
o	-1	-1	o
o	-1	o	-1
o	o	-1	-1
o	-1	-1	o
o	-1	-1	o
1	o	-1	o
o	-1	-1	o
o	-1	-1	o
o	-1	-1	o
o	-1	-1	o
o	1	o	1
-1	o	-1	-1
o	-1	o	-1
o	-1	-1	o
-1	o	-1	o
-1	o	-1	o
o	-1	-1	o
o	-1	o	-1
-1	o	-1	o
-1	o	-1	o
o	-1	o	-1
o	-1	o	-1
o	-1	o	-1
o	-1	o	-1
-1	-1	o	o
-1	o	o	-1
o	o	-1	-1
o	o	-1	-1
1	-1	o	o
o	-1	o	-1
-1	-1	o	o
o	-1	o	-1
o	1	1	o
o	-1	o	-1
-1	o	-1	o
o	-1	o	-1
o	o	-1	-1
o	-1	o	-1
o	-1	o	-1
o	o	-1	-1
-1	-1	o	o
o	1	o	1
o	-1	o	0
-1	o	o	-1
-1	o	-1	o
-1	o	-1	o
1	-1	o	o
o	-1	o	-1
o	o	-1	-1
o	0	o	-1
o	1	o	1
-1	o	-1	o
-1	o	o	-1
o	-1	o	-1
o	0	o	-1
o	-1	o	-1
o	-1	o	-1
-1	o	-1	o
o	o	-1	-1
-1	-1	o	o
o	-1	-1	o
o	o	-1	-1
o	-1	-1	o
-1	o	o	-1
-1	-1	o	o
-1	o	-1	o
-1	o	o	1
